Team,Player,College,Draft_Year,Pro_height_inches,Pro_weight_lb,Date of Birth
CLE,lebron-james,,2003,81.0,250.0,12/30/1984
DET,darko-milicic,,2003,84.0,250.0,6/20/1985
DEN,carmelo-anthony,Syracuse,2003,79.0,238.0,5/29/1984
TOR,chris-bosh,Georgia Tech,2003,83.0,235.0,3/24/1984
MIA,dwyane-wade,Marquette,2003,76.0,220.0,1/17/1982
LAC,chris-kaman,Central Michigan University,2003,84.0,265.0,4/28/1982
CHI,kirk-hinrich,Kansas,2003,76.0,190.0,1/2/1981
MIL,t.j.-ford,Texas,2003,72.0,165.0,3/24/1983
NYK,mike-sweetney,Georgetown,2003,80.0,275.0,10/25/1982
WAS,jarvis-hayes,Georgia,2003,79.0,220.0,8/9/1981
GSW,mickael-pietrus,,2003,78.0,215.0,2/7/1982
SEA,nick-collison,Kansas,2003,82.0,255.0,10/26/1980
MEM,marcus-banks,UNLV,2003,74.0,200.0,11/19/1981
SEA,luke-ridnour,Oregon,2003,74.0,175.0,2/13/1981
ORL,reece-gaines,Louisville,2003,78.0,205.0,1/7/1981
BOS,troy-bell,Boston College,2003,73.0,180.0,11/10/1980
PHO,zarko-cabarkapa,,2003,83.0,235.0,5/21/1981
NOH,david-west,Xavier,2003,81.0,250.0,8/29/1980
UTA,sasha-pavlovic,,2003,80.0,220.0,11/15/1983
BOS,dahntay-jones,Duke,2003,78.0,225.0,12/27/1980
ATL,boris-diaw,,2003,80.0,250.0,4/16/1982
NJN,zoran-planinic,,2003,79.0,195.0,9/12/1982
POR,travis-outlaw,,2003,81.0,210.0,9/18/1984
LAL,brian-cook,Illinois,2003,81.0,234.0,12/4/1980
DET,carlos-delfino,,2003,78.0,230.0,8/29/1982
MIN,ndudi-ebi,,2003,81.0,200.0,6/18/1984
MEM,kendrick-perkins,,2003,82.0,270.0,11/10/1984
SAS,leandro-barbosa,,2003,75.0,194.0,11/28/1982
DAL,josh-howard,Wake Forest,2003,79.0,210.0,4/28/1980
NYK,maciej-lampe,,2003,83.0,275.0,2/5/1985
CLE,jason-kapono,UCLA,2003,80.0,213.0,2/4/1981
LAL,luke-walton,Arizona,2003,80.0,235.0,3/28/1980
MIA,jerome-beasley,University of North Dakota,2003,82.0,237.0,5/17/1980
LAC,sofoklis-schortsanitis,,2003,82.0,345.0,6/22/1985
MIL,szymon-szewczyk,,2003,82.0,242.0,12/21/1982
CHI,mario-austin,Mississippi State,2003,81.0,264.0,2/26/1982
ATL,travis-hansen,BYU,2003,78.0,205.0,4/15/1978
WAS,steve-blake,Maryland,2003,75.0,172.0,2/26/1980
