Team,W_L,Year
ATL,L,2014
ATL,W,2014
ATL,L,2014
ATL,L,2014
ATL,W,2014
ATL,W,2014
ATL,W,2014
ATL,W,2014
ATL,L,2014
ATL,L,2014
ATL,W,2014
ATL,W,2014
ATL,L,2014
ATL,W,2014
ATL,W,2014
ATL,W,2014
ATL,W,2014
ATL,W,2014
ATL,W,2014
ATL,W,2014
ATL,W,2014
ATL,W,2014
ATL,L,2014
ATL,W,2014
ATL,W,2014
ATL,W,2014
ATL,W,2014
ATL,W,2014
ATL,L,2014
ATL,W,2014
ATL,W,2014
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,L,2015
ATL,W,2015
ATL,W,2015
ATL,L,2015
ATL,W,2015
ATL,L,2015
ATL,L,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,L,2015
ATL,W,2015
ATL,L,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,L,2015
ATL,L,2015
ATL,L,2015
ATL,W,2015
ATL,W,2015
ATL,L,2015
ATL,W,2015
ATL,L,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,W,2015
ATL,L,2015
ATL,L,2015
ATL,L,2015
BOS,W,2014
BOS,L,2014
BOS,L,2014
BOS,L,2014
BOS,W,2014
BOS,W,2014
BOS,L,2014
BOS,L,2014
BOS,L,2014
BOS,W,2014
BOS,L,2014
BOS,L,2014
BOS,L,2014
BOS,L,2014
BOS,L,2014
BOS,W,2014
BOS,W,2014
BOS,W,2014
BOS,L,2014
BOS,L,2014
BOS,L,2014
BOS,W,2014
BOS,W,2014
BOS,W,2014
BOS,L,2014
BOS,L,2014
BOS,L,2014
BOS,L,2014
BOS,W,2014
BOS,L,2015
BOS,L,2015
BOS,L,2015
BOS,W,2015
BOS,L,2015
BOS,L,2015
BOS,W,2015
BOS,L,2015
BOS,L,2015
BOS,L,2015
BOS,W,2015
BOS,W,2015
BOS,L,2015
BOS,W,2015
BOS,L,2015
BOS,L,2015
BOS,L,2015
BOS,W,2015
BOS,W,2015
BOS,W,2015
BOS,L,2015
BOS,W,2015
BOS,L,2015
BOS,L,2015
BOS,W,2015
BOS,W,2015
BOS,W,2015
BOS,L,2015
BOS,L,2015
BOS,W,2015
BOS,W,2015
BOS,L,2015
BOS,W,2015
BOS,W,2015
BOS,W,2015
BOS,W,2015
BOS,W,2015
BOS,L,2015
BOS,L,2015
BOS,L,2015
BOS,W,2015
BOS,L,2015
BOS,W,2015
BOS,L,2015
BOS,W,2015
BOS,W,2015
BOS,L,2015
BOS,W,2015
BOS,W,2015
BOS,W,2015
BOS,W,2015
BOS,W,2015
BOS,W,2015
BRK,L,2014
BRK,W,2014
BRK,W,2014
BRK,L,2014
BRK,W,2014
BRK,W,2014
BRK,L,2014
BRK,L,2014
BRK,L,2014
BRK,L,2014
BRK,L,2014
BRK,W,2014
BRK,L,2014
BRK,W,2014
BRK,L,2014
BRK,W,2014
BRK,W,2014
BRK,L,2014
BRK,L,2014
BRK,L,2014
BRK,W,2014
BRK,W,2014
BRK,L,2014
BRK,L,2014
BRK,L,2014
BRK,W,2014
BRK,W,2014
BRK,W,2014
BRK,L,2014
BRK,W,2014
BRK,W,2014
BRK,W,2015
BRK,L,2015
BRK,L,2015
BRK,L,2015
BRK,L,2015
BRK,L,2015
BRK,L,2015
BRK,L,2015
BRK,W,2015
BRK,L,2015
BRK,W,2015
BRK,L,2015
BRK,L,2015
BRK,L,2015
BRK,L,2015
BRK,W,2015
BRK,W,2015
BRK,W,2015
BRK,L,2015
BRK,L,2015
BRK,L,2015
BRK,W,2015
BRK,W,2015
BRK,L,2015
BRK,L,2015
BRK,W,2015
BRK,W,2015
BRK,L,2015
BRK,L,2015
BRK,L,2015
BRK,L,2015
BRK,L,2015
BRK,W,2015
BRK,W,2015
BRK,L,2015
BRK,W,2015
BRK,W,2015
BRK,L,2015
BRK,W,2015
BRK,W,2015
BRK,W,2015
BRK,W,2015
BRK,W,2015
BRK,W,2015
BRK,L,2015
BRK,W,2015
BRK,L,2015
BRK,W,2015
BRK,L,2015
BRK,L,2015
BRK,W,2015
CHO,W,2014
CHO,L,2014
CHO,L,2014
CHO,L,2014
CHO,W,2014
CHO,W,2014
CHO,L,2014
CHO,L,2014
CHO,W,2014
CHO,L,2014
CHO,L,2014
CHO,L,2014
CHO,L,2014
CHO,L,2014
CHO,L,2014
CHO,L,2014
CHO,L,2014
CHO,L,2014
CHO,L,2014
CHO,W,2014
CHO,W,2014
CHO,L,2014
CHO,L,2014
CHO,L,2014
CHO,L,2014
CHO,W,2014
CHO,W,2014
CHO,W,2014
CHO,W,2014
CHO,L,2014
CHO,L,2014
CHO,L,2014
CHO,L,2014
CHO,L,2015
CHO,W,2015
CHO,W,2015
CHO,W,2015
CHO,W,2015
CHO,W,2015
CHO,L,2015
CHO,W,2015
CHO,W,2015
CHO,W,2015
CHO,L,2015
CHO,W,2015
