player,draft_year,pro_height_inches,pro_weight_lb,date_of_birth
lebron-james,2003,81,250,1984-12-30
darko-milicic,2003,84,250,1985-06-20
carmelo-anthony,2003,79,238,1984-05-29
chris-bosh,2003,83,235,1984-03-24
dwyane-wade,2003,76,220,1982-01-17
chris-kaman,2003,84,265,1982-04-28
kirk-hinrich,2003,76,190,1981-01-02
t.j.-ford,2003,72,165,1983-03-24
mike-sweetney,2003,80,275,1982-10-25
jarvis-hayes,2003,79,220,1981-08-09
mickael-pietrus,2003,78,215,1982-02-07
nick-collison,2003,82,255,1980-10-26
marcus-banks,2003,74,200,1981-11-19
luke-ridnour,2003,74,175,1981-02-13
reece-gaines,2003,78,205,1981-01-07
troy-bell,2003,73,180,1980-11-10
zarko-cabarkapa,2003,83,235,1981-05-21
david-west,2003,81,250,1980-08-29
sasha-pavlovic,2003,80,220,1983-11-15
dahntay-jones,2003,78,225,1980-12-27
boris-diaw,2003,80,250,1982-04-16
zoran-planinic,2003,79,195,1982-09-12
travis-outlaw,2003,81,210,1984-09-18
brian-cook,2003,81,234,1980-12-04
carlos-delfino,2003,78,230,1982-08-29
ndudi-ebi,2003,81,200,1984-06-18
kendrick-perkins,2003,82,270,1984-11-10
leandro-barbosa,2003,75,194,1982-11-28
josh-howard,2003,79,210,1980-04-28
maciej-lampe,2003,83,275,1985-02-05
jason-kapono,2003,80,213,1981-02-04
luke-walton,2003,80,235,1980-03-28
jerome-beasley,2003,82,237,1980-05-17
sofoklis-schortsanitis,2003,82,345,1985-06-22
szymon-szewczyk,2003,82,242,1982-12-21
mario-austin,2003,81,264,1982-02-26
travis-hansen,2003,78,205,1978-04-15
steve-blake,2003,75,172,1980-02-26
slavko-vranes,2003,89,275,1983-01-30
derrick-zimmerman,2003,75,195,1981-12-02
willie-green,2003,76,200,1981-07-28
zaza-pachulia,2003,83,270,1984-02-10
keith-bogans,2003,77,215,1980-05-12
malick-badiane,2003,,,
matt-bonner,2003,82,235,1980-04-05
sani-becirovic,2003,77,210,1981-05-19
mo-williams,2003,73,198,1982-12-19
james-lang,2003,82,285,1983-10-17
james-jones,2003,80,218,1980-10-04
paccelis-morlende,2003,74,185,1981-04-19
kyle-korver,2003,79,212,1981-03-17
remon-van-de-hare,2003,,,
tommy-smith,2003,,,
nedzad-sinanovic,2003,88,250,1983-01-29
rick-rickert,2003,,,
brandon-hunter,2003,79,260,1980-11-24
xue-yuyang,2003,84,265,1982-11-04
andreas-glyniadakis,2003,85,280,1981-08-21
dwight-howard,2004,82,265,1985-12-08
emeka-okafor,2004,82,252,1982-09-28
ben-gordon,2004,75,200,1983-04-04
shaun-livingston,2004,79,192,1985-09-11
devin-harris,2004,75,185,1983-02-27
josh-childress,2004,80,210,1983-06-20
luol-deng,2004,81,237,1985-04-16
rafael-araujo,2004,83,280,1980-08-12
andre-iguodala,2004,78,215,1984-01-28
luke-jackson,2004,79,215,1981-11-06
andris-biedrins,2004,83,240,1986-04-02
robert-swift,2004,84,245,1985-12-03
sebastian-telfair,2004,72,165,1985-06-09
kris-humphries,2004,81,235,1985-02-06
al-jefferson,2004,82,289,1985-01-04
kirk-snyder,2004,78,225,1983-06-05
josh-smith,2004,81,225,1985-12-05
j.r.-smith,2004,78,225,1985-09-09
dorell-wright,2004,81,205,1985-12-02
jameer-nelson,2004,72,190,1982-02-09
pavel-podkolzin,2004,89,260,1985-01-15
viktor-khryapa,2004,81,210,1982-08-03
sergei-monia,2004,80,220,1983-04-15
delonte-west,2004,76,180,1983-07-26
tony-allen,2004,76,213,1982-01-11
kevin-martin,2004,79,199,1983-02-01
sasha-vujacic,2004,79,195,1984-03-08
beno-udrih,2004,75,205,1982-07-05
david-harrison,2004,84,280,1982-08-15
anderson-varejao,2004,82,273,1982-09-28
jackson-vroman,2004,82,220,1981-06-06
peter-john-ramos,2004,87,275,1985-05-13
lionel-chalmers,2004,72,180,1980-11-10
donta-smith,2004,79,215,1983-11-27
andre-emmett,2004,77,230,1982-08-27
antonio-burks,2004,73,200,1980-02-25
royal-ivey,2004,75,200,1981-12-20
chris-duhon,2004,73,185,1982-08-31
albert-miralles,2004,82,243,1982-05-14
justin-reed,2004,80,240,1982-01-16
david-young,2004,,,
