team,player,college
CLE,lebron-james,
DET,darko-milicic,
DEN,carmelo-anthony,Syracuse
TOR,chris-bosh,Georgia Tech
MIA,dwyane-wade,Marquette
LAC,chris-kaman,Central Michigan University
CHI,kirk-hinrich,Kansas
MIL,t.j.-ford,Texas
NYK,mike-sweetney,Georgetown
WAS,jarvis-hayes,Georgia
GSW,mickael-pietrus,
SEA,nick-collison,Kansas
MEM,marcus-banks,UNLV
SEA,luke-ridnour,Oregon
ORL,reece-gaines,Louisville
BOS,troy-bell,Boston College
PHO,zarko-cabarkapa,
NOH,david-west,Xavier
UTA,sasha-pavlovic,
BOS,dahntay-jones,Duke
ATL,boris-diaw,
NJN,zoran-planinic,
POR,travis-outlaw,
LAL,brian-cook,Illinois
DET,carlos-delfino,
MIN,ndudi-ebi,
MEM,kendrick-perkins,
SAS,leandro-barbosa,
DAL,josh-howard,Wake Forest
NYK,maciej-lampe,
CLE,jason-kapono,UCLA
LAL,luke-walton,Arizona
MIA,jerome-beasley,University of North Dakota
LAC,sofoklis-schortsanitis,
MIL,szymon-szewczyk,
CHI,mario-austin,Mississippi State
ATL,travis-hansen,BYU
WAS,steve-blake,Maryland
NYK,slavko-vranes,
GSW,derrick-zimmerman,Mississippi State
SEA,willie-green,Detroit Mercy
ORL,zaza-pachulia,
MIL,keith-bogans,Kentucky
HOU,malick-badiane,
CHI,matt-bonner,Florida
DEN,sani-becirovic,
UTA,mo-williams,Alabama
NOH,james-lang,
IND,james-jones,Miami (FL)
PHI,paccelis-morlende,
NJN,kyle-korver,Creighton
TOR,remon-van-de-hare,
CHI,tommy-smith,Arizona State
POR,nedzad-sinanovic,
MIN,rick-rickert,Minnesota
BOS,brandon-hunter,Ohio University
DAL,xue-yuyang,
DET,andreas-glyniadakis,
ORL,dwight-howard,
CHA,emeka-okafor,UConn
CHI,ben-gordon,UConn
LAC,shaun-livingston,
WAS,devin-harris,Wisconsin
ATL,josh-childress,Stanford
PHO,luol-deng,Duke
TOR,rafael-araujo,BYU
PHI,andre-iguodala,Arizona
CLE,luke-jackson,Oregon
GSW,andris-biedrins,
SEA,robert-swift,
POR,sebastian-telfair,
UTA,kris-humphries,Minnesota
BOS,al-jefferson,
UTA,kirk-snyder,Nevada
ATL,josh-smith,
NOH,j.r.-smith,
MIA,dorell-wright,
DEN,jameer-nelson,Saint Joseph's
UTA,pavel-podkolzin,
NJN,viktor-khryapa,
POR,sergei-monia,
BOS,delonte-west,Saint Joseph's
BOS,tony-allen,Oklahoma State
SAC,kevin-martin,Western Carolina University
LAL,sasha-vujacic,
SAS,beno-udrih,
IND,david-harrison,Colorado
ORL,anderson-varejao,
CHI,jackson-vroman,Iowa State
WAS,peter-john-ramos,
LAC,lionel-chalmers,Xavier
ATL,donta-smith,Southeastern Illinois College
SEA,andre-emmett,Texas Tech
ORL,antonio-burks,Memphis
ATL,royal-ivey,Texas
CHI,chris-duhon,Duke
TOR,albert-miralles,
BOS,justin-reed,Ole Miss
SEA,david-young,NC Central
ATL,viktor-sanikidze,
NYK,trevor-ariza,UCLA
NOH,tim-pickett,Florida State
CHA,bernard-robinson,Michigan
POR,ha-seung-jin,
MIA,pape-sow,Cal State Fullerton
SAC,ricky-minard,Morehead State University
MEM,sergei-lishouk,
DAL,vassilis-spanoulis,
NJN,christian-drejer,Florida
SAS,romain-sato,Xavier
MIA,matt-freije,Vanderbilt
DET,rickey-paulding,Missouri
HOU,luis-flores,Manhattan College
LAL,marcus-douthit,Providence
SAS,sergei-karaulov,
MIN,blake-stepp,Gonzaga
IND,rashad-wright,Georgia
MIL,andrew-bogut,Utah
ATL,marvin-williams,UNC
UTA,deron-williams,Illinois
NOH,chris-paul,Wake Forest
CHA,raymond-felton,UNC
POR,martell-webster,
TOR,charlie-villanueva,UConn
NYK,channing-frye,Arizona
GSW,ike-diogu,Arizona State
LAL,andrew-bynum,
ORL,fran-vazquez,
LAC,yaroslav-korolev,
CHA,sean-may,UNC
MIN,rashad-mccants,UNC
NJN,antoine-wright,Texas A&M
TOR,joey-graham,Oklahoma State
IND,danny-granger,New Mexico
BOS,gerald-green,
MEM,hakim-warrick,Syracuse
DEN,julius-hodge,NC State
PHO,nate-robinson,Washington
DEN,jarrett-jack,Georgia Tech
SAC,francisco-garcia,Louisville
HOU,luther-head,Illinois
SEA,johan-petro,
DET,jason-maxiell,Cincinnati
POR,linas-kleiza,Missouri
SAS,ian-mahinmi,
MIA,wayne-simien,Kansas
NYK,david-lee,Florida
ATL,salim-stoudamire,Arizona
LAC,daniel-ewing,Duke
NOH,brandon-bass,LSU
UTA,c.j.-miles,
POR,ricky-sanchez,
MIL,ersan-ilyasova,
LAL,ronny-turiaf,Gonzaga
ORL,travis-diener,Marquette
LAL,von-wafer,Florida State
GSW,monta-ellis,
TOR,roko-ukic,
GSW,chris-taft,Pitt
NJN,mile-ilic,
ORL,martynas-andriuskevicius,
PHI,lou-williams,
IND,erazem-lorbek,
MIN,bracey-wright,Indiana
SEA,mickael-gelabale,
WAS,andray-blatche,
BOS,ryan-gomes,Providence
UTA,robert-whaley,Walsh University
DEN,axel-hervelle,
BOS,orien-greene,Louisiana
NYK,dijon-thompson,UCLA
SEA,lawrence-roberts,Mississippi State
DET,amir-johnson,
PHO,marcin-gortat,
TOR,uros-slokar,
ATL,cenk-akyol,
DET,alex-acker,Pepperdine
TOR,andrea-bargnani,
CHI,lamarcus-aldridge,Texas
CHA,adam-morrison,Gonzaga
POR,tyrus-thomas,LSU
ATL,shelden-williams,Duke
MIN,brandon-roy,Washington
BOS,randy-foye,Villanova
HOU,rudy-gay,UConn
GSW,patrick-o'bryant,Bradley
SEA,mouhamed-sene,
ORL,j.j.-redick,Duke
NOK,hilton-armstrong,UConn
PHI,thabo-sefolosha,
UTA,ronnie-brewer,Arkansas
NOK,cedric-simmons,NC State
CHI,rodney-carney,Memphis
IND,shawne-williams,Memphis
WAS,oleksiy-pecherov,
SAC,quincy-douby,Rutgers University
NYK,renaldo-balkman,South Carolina
PHO,rajon-rondo,Kentucky
NJN,marcus-williams,UConn
NJN,josh-boone,UConn
MEM,kyle-lowry,Villanova
CLE,shannon-brown,Michigan State
LAL,jordan-farmar,UCLA
PHO,sergio-rodriguez,
DAL,maurice-ager,Michigan State
NYK,mardy-collins,Temple
POR,joel-freeland,
POR,james-white,Cincinnati
HOU,steve-novak,Marquette
ATL,solomon-jones,South Florida
LAC,paul-davis,Michigan State
TOR,p.j.-tucker,Texas
MIN,craig-smith,Boston College
MIN,bobby-jones,Washington
GSW,kosta-perovic,
MIL,david-noel,UNC
SEA,denham-brown,UConn
ORL,james-augustine,Illinois
CLE,daniel-gibson,Texas
NOK,marcus-vinicius,
ORL,lior-eliyahu,
IND,alexander-johnson,Florida State
UTA,dee-brown,Illinois
UTA,paul-millsap,Louisiana Tech
WAS,vladimir-veremeenko,
DEN,leon-powe,California
CHA,ryan-hollins,UCLA
LAL,cheikh-samb,
LAC,guillermo-diaz,Miami (FL)
SEA,yotam-halperin,
NJN,hassan-adams,Arizona
CLE,ejike-ugboaja,
TOR,edin-bavcic,
MIN,loukas-mavrokefalidis,
DAL,j.r.-pinnock,George Washington
SAS,damir-markota,
DET,will-blalock,Iowa State
POR,greg-oden,Ohio State
SEA,kevin-durant,Texas
ATL,al-horford,Florida
MEM,mike-conley,Ohio State
BOS,jeff-green,Georgetown
MIL,yi-jianlian,
MIN,corey-brewer,Florida
CHA,brandan-wright,UNC
CHI,joakim-noah,Florida
SAC,spencer-hawes,Washington
ATL,acie-law,Texas A&M
PHI,thaddeus-young,Georgia Tech
NOK,julian-wright,Kansas
LAC,al-thornton,Florida State
DET,rodney-stuckey,Eastern Washington
WAS,nick-young,USC
NJN,sean-williams,Boston College
GSW,marco-belinelli,
LAL,javaris-crittenton,Georgia Tech
MIA,jason-smith,Colorado State
PHI,daequan-cook,Ohio State
CHA,jared-dudley,Boston College
NYK,wilson-chandler,DePaul
PHO,rudy-fernandez,
UTA,morris-almond,Rice University
HOU,aaron-brooks,Oregon
DET,arron-afflalo,UCLA
SAS,tiago-splitter,
PHO,alando-tucker,Wisconsin
PHI,petteri-koponen,
SEA,carl-landry,Purdue
BOS,gabe-pruitt,USC
SAS,marcus-williams,Arizona
DAL,nick-fazekas,Nevada
SEA,glen-davis,LSU
GSW,jermareo-davidson,Alabama
POR,josh-mcroberts,Duke
PHI,kyrylo-fesenko,
MIA,stanko-barac,
LAL,sun-yue,
MIN,chris-richard,Florida
POR,derrick-byars,Vanderbilt
NOK,adam-haluska,Iowa
ORL,reyshawn-terry,UNC
LAC,jared-jordan,Marist College
GSW,stephane-lasme,UMass
WAS,dominic-mcguire,Fresno State
LAL,marc-gasol,
CHI,aaron-gray,Pitt
DAL,renaldas-seibutis,
CHI,jameson-curry,Oklahoma State
POR,taurean-green,Florida
POR,demetris-nichols,Syracuse
HOU,brad-newley,
UTA,herbert-hill,Providence
MIL,ramon-sessions,Nevada
DET,sammy-mejia,DePaul
SAS,georgios-printezis,
PHO,d.j.-strawberry,Maryland
