College,Year,Games,Wins
North Carolina,2016,40,33
Wisconsin,2015,40,36
Michigan,2018,40,33
Texas Tech,2019,38,31
Gonzaga,2017,39,37
Kentucky,2014,40,29
Michigan,2013,38,30
Duke,2015,39,35
Virginia,2019,38,35
North Carolina,2017,39,33
Villanova,2016,40,35
Villanova,2018,40,36
Connecticut,2014,40,32
Louisville,2013,40,35
Louisville,2015,36,27
Notre Dame,2015,38,32
Notre Dame,2016,36,24
Virginia,2016,37,29
Duke,2018,37,29
Florida St.,2018,35,23
Duke,2019,38,32
Purdue,2019,36,26
Kansas,2016,37,32
Kansas,2017,36,31
Kansas St.,2018,37,25
Texas Tech,2018,37,27
Xavier,2017,38,24
Arizona,2015,38,34
Oregon,2016,37,30
Florida,2017,36,27
Kentucky,2017,38,32
Kentucky,2019,37,30
Gonzaga,2015,37,34
Gonzaga,2019,37,33
Arizona,2014,38,33
Michigan,2014,37,28
Michigan St.,2014,38,29
Dayton,2014,37,26
Ohio St.,2013,37,29
Duke,2013,36,30
Marquette,2013,35,26
Florida,2013,37,29
Syracuse,2016,37,23
Michigan St.,2015,39,27
Michigan St.,2019,39,32
Oklahoma,2016,37,29
Kansas,2018,39,31
Loyola Chicago,2018,37,32
Oregon,2017,38,33
Kentucky,2015,39,38
South Carolina,2017,36,26
Auburn,2019,39,30
Florida,2014,39,36
Wisconsin,2014,38,30
Syracuse,2013,40,30
Wichita St.,2013,39,30
Duquesne,2015,30,11
Fordham,2015,30,9
George Mason,2015,30,8
George Washington,2015,35,22
La Salle,2015,33,17
Massachusetts,2015,32,17
Rhode Island,2015,32,22
Richmond,2015,35,21
Saint Joseph's,2015,31,13
Saint Louis,2015,31,10
St. Bonaventure,2015,31,18
Davidson,2016,32,19
Duquesne,2016,33,16
Fordham,2016,30,16
George Mason,2016,32,11
George Washington,2016,38,28
La Salle,2016,30,8
Massachusetts,2016,32,14
Rhode Island,2016,32,17
Richmond,2016,32,16
Saint Louis,2016,32,11
St. Bonaventure,2016,31,22
Davidson,2017,32,17
Duquesne,2017,32,10
Fordham,2017,31,13
George Mason,2017,33,20
George Washington,2017,35,20
La Salle,2017,30,15
Massachusetts,2017,33,15
Richmond,2017,35,22
Saint Joseph's,2017,31,11
Saint Louis,2017,33,12
St. Bonaventure,2017,32,20
Dayton,2018,31,14
Duquesne,2018,32,16
Fordham,2018,31,9
George Mason,2018,33,16
George Washington,2018,33,15
La Salle,2018,32,13
Massachusetts,2018,33,13
Richmond,2018,32,12
Saint Joseph's,2018,32,16
Saint Louis,2018,32,17
VCU,2018,33,18
Davidson,2019,33,24
Dayton,2019,33,21
Duquesne,2019,32,19
Fordham,2019,31,12
George Mason,2019,33,18
George Washington,2019,33,9
La Salle,2019,31,10
Massachusetts,2019,32,11
Rhode Island,2019,33,18
Richmond,2019,33,13
Saint Joseph's,2019,33,14
St. Bonaventure,2019,34,18
Boston College,2015,32,13
Clemson,2015,31,16
Florida St.,2015,33,17
Georgia Tech,2015,31,12
Miami FL,2015,38,25
Pittsburgh,2015,33,18
Syracuse,2015,31,18
Virginia Tech,2015,33,11
Wake Forest,2015,32,13
Boston College,2016,32,7
Clemson,2016,31,17
Florida St.,2016,34,20
Georgia Tech,2016,36,21
Louisville,2016,31,23
North Carolina St.,2016,33,16
Virginia Tech,2016,35,20
Wake Forest,2016,31,11
Boston College,2017,32,9
Clemson,2017,33,17
Georgia Tech,2017,36,21
North Carolina St.,2017,32,15
Pittsburgh,2017,33,16
Syracuse,2017,34,19
Boston College,2018,35,19
Georgia Tech,2018,32,13
Louisville,2018,36,22
Notre Dame,2018,35,21
Pittsburgh,2018,32,8
Wake Forest,2018,31,11
Boston College,2019,31,14
Clemson,2019,34,20
Georgia Tech,2019,32,14
Miami FL,2019,32,14
North Carolina St.,2019,36,24
Notre Dame,2019,33,14
Pittsburgh,2019,33,14
Wake Forest,2019,31,11
Binghamton,2015,30,5
Hartford,2015,29,13
Maine,2015,30,3
New Hampshire,2015,30,17
Stony Brook,2015,33,21
UMass Lowell,2015,28,11
UMBC,2015,30,4
Vermont,2015,33,19
Albany,2016,32,23
Binghamton,2016,30,8
Hartford,2016,32,9
Maine,2016,30,8
New Hampshire,2016,31,18
UMass Lowell,2016,28,10
UMBC,2016,32,7
Vermont,2016,36,22
Albany,2017,34,21
Binghamton,2017,29,12
Hartford,2017,32,9
Maine,2017,31,7
New Hampshire,2017,29,20
Stony Brook,2017,32,18
UMass Lowell,2017,30,11
UMBC,2017,32,21
Albany,2018,31,22
Binghamton,2018,29,11
Hartford,2018,32,19
Maine,2018,30,6
New Hampshire,2018,29,10
Stony Brook,2018,31,13
UMass Lowell,2018,29,12
Vermont,2018,34,27
Albany,2019,31,12
Binghamton,2019,31,10
Hartford,2019,32,18
Maine,2019,31,5
New Hampshire,2019,27,5
Stony Brook,2019,32,24
UMass Lowell,2019,30,15
UMBC,2019,31,21
Connecticut,2015,35,20
East Carolina,2015,31,12
Houston,2015,32,13
Memphis,2015,32,18
South Florida,2015,31,8
Temple,2015,37,26
Tulane,2015,30,14
Tulsa,2015,33,23
UCF,2015,29,11
East Carolina,2016,32,12
Houston,2016,32,22
Memphis,2016,34,19
SMU,2016,30,25
South Florida,2016,33,8
Tulane,2016,34,13
UCF,2016,30,12
Connecticut,2017,32,16
East Carolina,2017,33,15
Houston,2017,32,22
Memphis,2017,32,19
South Florida,2017,30,7
Temple,2017,32,16
Tulane,2017,31,6
Tulsa,2017,32,15
UCF,2017,36,24
Connecticut,2018,32,14
East Carolina,2018,30,10
Memphis,2018,34,21
SMU,2018,33,17
South Florida,2018,32,10
Temple,2018,33,17
Tulane,2018,31,14
Tulsa,2018,31,19
UCF,2018,32,19
Connecticut,2019,33,16
East Carolina,2019,31,10
Memphis,2019,36,22
SMU,2019,32,15
South Florida,2019,37,24
Tulane,2019,31,4
Tulsa,2019,32,18
Wichita St.,2019,37,22
Florida Gulf Coast,2015,30,19
Jacksonville,2015,29,7
Kennesaw St.,2015,30,8
Lipscomb,2015,28,11
Northern Kentucky,2015,28,11
Stetson,2015,28,6
USC Upstate,2015,32,20
Jacksonville,2016,28,12
Kennesaw St.,2016,29,9
Lipscomb,2016,31,10
NJIT,2016,34,19
North Florida,2016,31,19
Stetson,2016,30,8
USC Upstate,2016,28,7
Jacksonville,2017,29,17
Kennesaw St.,2017,30,14
Lipscomb,2017,30,20
NJIT,2017,29,11
North Florida,2017,30,15
Stetson,2017,29,11
USC Upstate,2017,29,17
Florida Gulf Coast,2018,32,23
Jacksonville,2018,29,15
Kennesaw St.,2018,28,10
NJIT,2018,28,14
North Florida,2018,30,14
Stetson,2018,28,12
USC Upstate,2018,28,7
Florida Gulf Coast,2019,30,14
Jacksonville,2019,30,12
Kennesaw St.,2019,30,5
Lipscomb,2019,35,29
NJIT,2019,34,22
North Alabama,2019,29,10
North Florida,2019,31,16
Stetson,2019,29,7
Illinois,2015,33,19
Michigan,2015,31,15
Minnesota,2015,32,17
