Pk,Team,Player,College,Year,Pro_height,Pro_weight,DOB
1,CLE,lebron-james,,2003,81.0,250.0,12/30/1984
2,DET,darko-milicic,,2003,84.0,250.0,6/20/1985
3,DEN,carmelo-anthony,Syracuse,2003,79.0,238.0,5/29/1984
4,TOR,chris-bosh,Georgia Tech,2003,83.0,235.0,3/24/1984
5,MIA,dwyane-wade,Marquette,2003,76.0,220.0,1/17/1982
6,LAC,chris-kaman,Central Michigan University,2003,84.0,265.0,4/28/1982
7,CHI,kirk-hinrich,Kansas,2003,76.0,190.0,1/2/1981
8,MIL,t.j.-ford,Texas,2003,72.0,165.0,3/24/1983
9,NYK,mike-sweetney,Georgetown,2003,80.0,275.0,10/25/1982
10,WAS,jarvis-hayes,Georgia,2003,79.0,220.0,8/9/1981
11,GSW,mickael-pietrus,,2003,78.0,215.0,2/7/1982
12,SEA,nick-collison,Kansas,2003,82.0,255.0,10/26/1980
13,MEM,marcus-banks,UNLV,2003,74.0,200.0,11/19/1981
14,SEA,luke-ridnour,Oregon,2003,74.0,175.0,2/13/1981
15,ORL,reece-gaines,Louisville,2003,78.0,205.0,1/7/1981
16,BOS,troy-bell,Boston College,2003,73.0,180.0,11/10/1980
17,PHO,zarko-cabarkapa,,2003,83.0,235.0,5/21/1981
18,NOH,david-west,Xavier,2003,81.0,250.0,8/29/1980
19,UTA,sasha-pavlovic,,2003,80.0,220.0,11/15/1983
20,BOS,dahntay-jones,Duke,2003,78.0,225.0,12/27/1980
21,ATL,boris-diaw,,2003,80.0,250.0,4/16/1982
22,NJN,zoran-planinic,,2003,79.0,195.0,9/12/1982
23,POR,travis-outlaw,,2003,81.0,210.0,9/18/1984
24,LAL,brian-cook,Illinois,2003,81.0,234.0,12/4/1980
25,DET,carlos-delfino,,2003,78.0,230.0,8/29/1982
26,MIN,ndudi-ebi,,2003,81.0,200.0,6/18/1984
27,MEM,kendrick-perkins,,2003,82.0,270.0,11/10/1984
28,SAS,leandro-barbosa,,2003,75.0,194.0,11/28/1982
