Team,W_L,Date
ATL,L,2014-10-29
ATL,W,2014-11-01
ATL,L,2014-11-05
ATL,L,2014-11-07
ATL,W,2014-11-08
ATL,W,2014-11-10
ATL,W,2014-11-12
ATL,W,2014-11-14
ATL,L,2014-11-15
ATL,L,2014-11-18
ATL,W,2014-11-21
ATL,W,2014-11-25
ATL,L,2014-11-26
ATL,W,2014-11-28
ATL,W,2014-11-29
ATL,W,2014-12-02
ATL,W,2014-12-03
ATL,W,2014-12-05
ATL,W,2014-12-07
ATL,W,2014-12-08
ATL,W,2014-12-10
ATL,W,2014-12-12
ATL,L,2014-12-13
ATL,W,2014-12-15
ATL,W,2014-12-17
ATL,W,2014-12-20
ATL,W,2014-12-22
ATL,W,2014-12-23
ATL,L,2014-12-26
ATL,W,2014-12-27
ATL,W,2014-12-30
ATL,W,2015-01-02
ATL,W,2015-01-03
ATL,W,2015-01-05
ATL,W,2015-01-07
ATL,W,2015-01-09
ATL,W,2015-01-11
ATL,W,2015-01-13
ATL,W,2015-01-14
ATL,W,2015-01-16
ATL,W,2015-01-17
ATL,W,2015-01-19
ATL,W,2015-01-21
ATL,W,2015-01-23
ATL,W,2015-01-25
ATL,W,2015-01-28
ATL,W,2015-01-30
ATL,W,2015-01-31
ATL,L,2015-02-02
ATL,W,2015-02-04
ATL,W,2015-02-06
ATL,L,2015-02-08
ATL,W,2015-02-09
ATL,L,2015-02-11
ATL,L,2015-02-20
ATL,W,2015-02-22
ATL,W,2015-02-25
ATL,W,2015-02-27
ATL,W,2015-02-28
ATL,W,2015-03-03
ATL,W,2015-03-06
ATL,L,2015-03-07
ATL,W,2015-03-09
ATL,L,2015-03-11
ATL,W,2015-03-13
ATL,W,2015-03-15
ATL,W,2015-03-16
ATL,L,2015-03-18
ATL,L,2015-03-20
ATL,L,2015-03-22
ATL,W,2015-03-25
ATL,W,2015-03-27
ATL,L,2015-03-28
ATL,W,2015-03-30
ATL,L,2015-03-31
ATL,W,2015-04-04
ATL,W,2015-04-07
ATL,W,2015-04-08
ATL,W,2015-04-10
ATL,L,2015-04-12
ATL,L,2015-04-13
ATL,L,2015-04-15
BOS,W,2014-10-29
BOS,L,2014-11-01
BOS,L,2014-11-03
BOS,L,2014-11-05
BOS,W,2014-11-07
BOS,W,2014-11-08
BOS,L,2014-11-12
BOS,L,2014-11-14
BOS,L,2014-11-17
BOS,W,2014-11-19
BOS,L,2014-11-21
BOS,L,2014-11-23
BOS,L,2014-11-28
BOS,L,2014-11-30
BOS,L,2014-12-02
BOS,W,2014-12-03
BOS,W,2014-12-05
BOS,W,2014-12-07
BOS,L,2014-12-08
BOS,L,2014-12-10
BOS,L,2014-12-12
BOS,W,2014-12-15
BOS,W,2014-12-17
BOS,W,2014-12-19
BOS,L,2014-12-21
BOS,L,2014-12-23
BOS,L,2014-12-26
BOS,L,2014-12-27
BOS,W,2014-12-31
BOS,L,2015-01-02
BOS,L,2015-01-03
BOS,L,2015-01-05
BOS,W,2015-01-07
BOS,L,2015-01-09
BOS,L,2015-01-10
BOS,W,2015-01-12
BOS,L,2015-01-14
BOS,L,2015-01-16
BOS,L,2015-01-19
BOS,W,2015-01-22
BOS,W,2015-01-23
BOS,L,2015-01-25
BOS,W,2015-01-26
BOS,L,2015-01-28
BOS,L,2015-01-30
BOS,L,2015-02-01
BOS,W,2015-02-03
BOS,W,2015-02-04
BOS,W,2015-02-06
BOS,L,2015-02-07
BOS,W,2015-02-11
BOS,L,2015-02-20
BOS,L,2015-02-22
BOS,W,2015-02-23
BOS,W,2015-02-25
BOS,W,2015-02-27
BOS,L,2015-03-01
BOS,L,2015-03-03
BOS,W,2015-03-04
BOS,W,2015-03-06
BOS,L,2015-03-08
BOS,W,2015-03-09
BOS,W,2015-03-11
BOS,W,2015-03-13
BOS,W,2015-03-14
BOS,W,2015-03-16
BOS,L,2015-03-18
BOS,L,2015-03-20
BOS,L,2015-03-22
BOS,W,2015-03-23
BOS,L,2015-03-25
BOS,W,2015-03-27
BOS,L,2015-03-29
BOS,W,2015-03-30
BOS,W,2015-04-01
BOS,L,2015-04-03
BOS,W,2015-04-04
BOS,W,2015-04-08
BOS,W,2015-04-10
BOS,W,2015-04-12
BOS,W,2015-04-14
BOS,W,2015-04-15
BRK,L,2014-10-29
BRK,W,2014-11-01
BRK,W,2014-11-03
BRK,L,2014-11-05
BRK,W,2014-11-07
BRK,W,2014-11-09
BRK,L,2014-11-12
BRK,L,2014-11-13
BRK,L,2014-11-15
BRK,L,2014-11-17
BRK,L,2014-11-19
BRK,W,2014-11-21
BRK,L,2014-11-22
BRK,W,2014-11-26
BRK,L,2014-11-30
BRK,W,2014-12-02
BRK,W,2014-12-03
BRK,L,2014-12-05
BRK,L,2014-12-08
BRK,L,2014-12-10
BRK,W,2014-12-12
BRK,W,2014-12-13
BRK,L,2014-12-16
BRK,L,2014-12-17
BRK,L,2014-12-19
BRK,W,2014-12-21
BRK,W,2014-12-23
BRK,W,2014-12-26
BRK,L,2014-12-27
BRK,W,2014-12-29
BRK,W,2014-12-30
BRK,W,2015-01-02
BRK,L,2015-01-04
BRK,L,2015-01-05
BRK,L,2015-01-07
BRK,L,2015-01-09
BRK,L,2015-01-10
BRK,L,2015-01-12
BRK,L,2015-01-14
BRK,W,2015-01-16
BRK,L,2015-01-17
BRK,W,2015-01-21
BRK,L,2015-01-22
BRK,L,2015-01-24
BRK,L,2015-01-28
BRK,L,2015-01-30
BRK,W,2015-02-02
BRK,W,2015-02-04
BRK,W,2015-02-06
BRK,L,2015-02-07
BRK,L,2015-02-09
BRK,L,2015-02-10
BRK,W,2015-02-20
BRK,W,2015-02-23
BRK,L,2015-02-25
BRK,L,2015-02-27
BRK,W,2015-02-28
BRK,W,2015-03-02
BRK,L,2015-03-04
BRK,L,2015-03-06
BRK,L,2015-03-08
BRK,L,2015-03-10
BRK,L,2015-03-11
BRK,W,2015-03-14
BRK,W,2015-03-16
BRK,L,2015-03-18
BRK,W,2015-03-20
BRK,W,2015-03-21
BRK,L,2015-03-23
BRK,W,2015-03-25
BRK,W,2015-03-27
BRK,W,2015-03-29
BRK,W,2015-03-31
BRK,W,2015-04-01
BRK,W,2015-04-03
BRK,L,2015-04-04
BRK,W,2015-04-06
BRK,L,2015-04-08
BRK,W,2015-04-10
BRK,L,2015-04-12
BRK,L,2015-04-13
BRK,W,2015-04-15
CHO,W,2014-10-29
CHO,L,2014-11-01
CHO,L,2014-11-02
CHO,L,2014-11-04
CHO,W,2014-11-05
CHO,W,2014-11-07
CHO,L,2014-11-09
CHO,L,2014-11-11
CHO,W,2014-11-14
CHO,L,2014-11-15
CHO,L,2014-11-17
CHO,L,2014-11-19
CHO,L,2014-11-21
CHO,L,2014-11-23
CHO,L,2014-11-24
CHO,L,2014-11-26
CHO,L,2014-11-28
CHO,L,2014-11-29
CHO,L,2014-12-03
CHO,W,2014-12-05
CHO,W,2014-12-10
CHO,L,2014-12-12
CHO,L,2014-12-13
CHO,L,2014-12-15
CHO,L,2014-12-17
CHO,W,2014-12-19
CHO,W,2014-12-20
CHO,W,2014-12-22
CHO,W,2014-12-23
CHO,L,2014-12-26
CHO,L,2014-12-27
CHO,L,2014-12-29
CHO,L,2014-12-31
CHO,L,2015-01-02
CHO,W,2015-01-03
CHO,W,2015-01-05
CHO,W,2015-01-07
CHO,W,2015-01-08
CHO,W,2015-01-10
CHO,L,2015-01-14
CHO,W,2015-01-17
CHO,W,2015-01-19
CHO,W,2015-01-21
CHO,L,2015-01-23
CHO,W,2015-01-24
CHO,L,2015-01-28
CHO,W,2015-01-31
CHO,W,2015-02-02
CHO,W,2015-02-05
CHO,L,2015-02-07
CHO,L,2015-02-08
CHO,L,2015-02-10
CHO,L,2015-02-21
CHO,L,2015-02-22
CHO,W,2015-02-25
CHO,L,2015-02-27
CHO,W,2015-03-01
CHO,W,2015-03-03
CHO,W,2015-03-04
CHO,W,2015-03-06
CHO,W,2015-03-08
CHO,L,2015-03-09
CHO,L,2015-03-11
CHO,W,2015-03-13
CHO,L,2015-03-16
CHO,L,2015-03-17
CHO,L,2015-03-20
CHO,W,2015-03-22
CHO,L,2015-03-23
CHO,L,2015-03-25
CHO,L,2015-03-27
CHO,W,2015-03-28
CHO,L,2015-03-30
CHO,W,2015-04-01
CHO,L,2015-04-03
CHO,W,2015-04-04
CHO,L,2015-04-07
CHO,L,2015-04-08
CHO,L,2015-04-10
CHO,L,2015-04-12
CHO,L,2015-04-13
CHO,L,2015-04-15
CHI,W,2014-10-29
CHI,L,2014-10-31
CHI,W,2014-11-01
CHI,W,2014-11-04
CHI,W,2014-11-05
CHI,W,2014-11-07
CHI,L,2014-11-08
CHI,W,2014-11-10
CHI,W,2014-11-13
CHI,L,2014-11-15
CHI,W,2014-11-17
CHI,L,2014-11-20
CHI,L,2014-11-21
CHI,W,2014-11-24
CHI,L,2014-11-25
CHI,W,2014-11-28
CHI,W,2014-11-30
CHI,L,2014-12-02
CHI,W,2014-12-03
CHI,L,2014-12-06
CHI,W,2014-12-10
CHI,W,2014-12-12
CHI,W,2014-12-14
CHI,L,2014-12-15
CHI,W,2014-12-18
CHI,W,2014-12-19
CHI,W,2014-12-22
CHI,W,2014-12-23
CHI,W,2014-12-25
CHI,W,2014-12-27
CHI,W,2014-12-29
CHI,L,2014-12-30
CHI,W,2015-01-01
CHI,W,2015-01-03
CHI,W,2015-01-05
CHI,L,2015-01-07
CHI,L,2015-01-09
CHI,W,2015-01-10
CHI,L,2015-01-12
CHI,L,2015-01-14
CHI,W,2015-01-16
CHI,L,2015-01-17
CHI,L,2015-01-19
CHI,W,2015-01-22
CHI,W,2015-01-23
CHI,L,2015-01-25
CHI,W,2015-01-27
CHI,L,2015-01-29
CHI,L,2015-01-30
CHI,L,2015-02-04
CHI,W,2015-02-07
CHI,W,2015-02-08
CHI,W,2015-02-10
CHI,W,2015-02-12
CHI,L,2015-02-20
CHI,W,2015-02-21
CHI,W,2015-02-23
CHI,L,2015-02-25
CHI,W,2015-02-27
CHI,L,2015-03-01
CHI,W,2015-03-03
CHI,W,2015-03-05
CHI,L,2015-03-06
CHI,L,2015-03-08
CHI,L,2015-03-09
CHI,W,2015-03-11
CHI,L,2015-03-13
CHI,L,2015-03-15
CHI,W,2015-03-18
CHI,W,2015-03-20
CHI,L,2015-03-21
CHI,W,2015-03-23
CHI,W,2015-03-25
CHI,W,2015-03-28
CHI,L,2015-04-01
CHI,W,2015-04-03
CHI,L,2015-04-05
CHI,L,2015-04-08
CHI,W,2015-04-09
CHI,W,2015-04-11
CHI,W,2015-04-13
CHI,W,2015-04-15
CLE,L,2014-10-30
CLE,W,2014-10-31
CLE,L,2014-11-04
CLE,L,2014-11-05
CLE,W,2014-11-07
CLE,W,2014-11-10
CLE,W,2014-11-14
CLE,W,2014-11-15
CLE,L,2014-11-17
CLE,L,2014-11-19
CLE,L,2014-11-21
CLE,L,2014-11-22
CLE,W,2014-11-24
